scenario,decade,avg_duration,avg_intensity,avg_yearly_frequency,avg_yearly_season_length
historical,1950,5.142857142857143,78.68120445478556,0.7,53.5
historical,1960,6.0,80.32841329300155,1.0,40.0
historical,1970,5.777777777777778,80.07126512397454,0.9,45.5
historical,1980,5.4,77.73102666479745,1.0,40.3
historical,1990,6.125,83.71405279831026,0.8,38.1
historical,2000,6.555555555555555,87.77466502070405,0.9,36.1
historical,2010,6.0,87.67828220424238,0.8,38.4
ssp126,2010,5.75,95.88263984057727,0.8,44.8
ssp126,2020,6.0,99.47859741309716,1.0,30.6
ssp126,2030,6.076923076923077,100.92898272922663,1.3,26.2
ssp126,2040,5.7272727272727275,100.26006569188752,1.1,41.5
ssp126,2050,5.6,101.77136329857748,1.0,46.2
ssp126,2060,5.9,104.78921069455286,1.0,34.6
ssp126,2070,7.0,106.55503557124543,0.8,33.9
ssp126,2080,8.0,110.1557338261565,0.8,32.5
ssp126,2090,6.9,106.08772435371368,0.9090909090909091,32.27272727272727
ssp245,2010,5.25,89.82304391831893,0.8,43.0
ssp245,2020,5.9,93.61552805606252,1.0,36.5
ssp245,2030,6.222222222222222,94.44313954713391,0.9,42.9
ssp245,2040,5.9,98.32213713729044,1.0,33.0
ssp245,2050,6.571428571428571,99.29241599204599,1.4,32.3
ssp245,2060,6.4,104.62237357472,1.0,24.9
ssp245,2070,5.583333333333333,107.29699010352125,1.2,30.4
ssp245,2080,5.5,109.41022179603225,1.2,40.3
ssp245,2090,6.5,110.4971319867654,1.0909090909090908,28.454545454545453
ssp585,2010,6.4,93.38140870113092,1.0,32.6
ssp585,2020,5.166666666666667,92.5532927019559,1.2,44.4
ssp585,2030,5.666666666666667,96.47964006004581,1.2,26.8
ssp585,2040,6.0,97.18634997413801,0.8,43.1
ssp585,2050,5.2727272727272725,103.38481203058842,1.1,39.9
ssp585,2060,6.4,111.4719118384156,1.0,24.3
ssp585,2070,5.583333333333333,116.59621262437976,1.2,36.1
ssp585,2080,6.7272727272727275,123.06636297504382,1.1,25.5
ssp585,2090,6.090909090909091,131.95431575089628,1.0,38.09090909090909
